option can be chosen	ఎంపిక కావచ్చు
take every single chance	వచ్చిన ప్రతి అవకాశాన్ని సద్వినియోగం చేసుకున్నా
whats the time	ఏయే టైంకు ఏమేం పెడతారు
raina and priyankas friendship dates back to their childhood days	ప్రియాంక రైనాలు చిన్నప్పటి నుండి స్నేహితులు
the movie is reportedly based on the biggest it scam in the world	ప్రపంచంలో అతి పెద్దదైన ఐటీ స్కామ్ నేపథ్య ంలో ఈ సినిమాను తీస్తున్నారు
the model is good	మోడల్ ఏ పనులు బాగుంది
five industriescoal crude oil natural gas cement and electricityrecorded negative growth	బొగ్గు సహజ వాయువు రిఫైనరీ ఉత్పత్తులు స్టీల్ సిమెంట్ విద్యుత్ రంగాలు రెండంకెల ప్రతికూల వృద్ధిని నమోదు చేసుకున్నాయి
she was then	ఆమె అప్పుడు  సంవత్సరాలు
by d raja	డి రాజా
but i dont knowhow	కానీ ఎలా అనేదే తెలియదు
and again	ఇక మళ్ళీ
clue number	కిలాడి నంబర్
i am me	ేను ఉన్నాను
part	పార్ట్
the incident took place last night in the ernakulam district of kerala	కేరళలోని ఎర్నాకులం ప్రాంతంలో ఈ ఘటన చోటు చేసుకుంది
is being charged	ల వరకూ తీసుకుంటున్నారు
want to know how she does it	ఇది ఎలా జరుగుతుందో తెలుసుకోవాలనుకుంటున్నారా
the culprits must be punished	నేరస్తులను తప్పనిసరిగా శిక్షించాలి
thanks for the info	సమాచారం కోసం ధన్యవాదాలు ఇవ్వాలని నిర్ధారించుకోండి
he allegedly has rs crore loan in banks	లక్షలు కార్పొరేషన్ బ్యాంకు నుంచి రుణం తీసుకున్నారు
madhu runs a beauty parlor	మధు వేణు ఒక బ్యూటీపార్లర్ నడుపుతుంటాడు
the cost of rs	పూర్తయ్యేనాటికి వ్యయం రూ
but the result remains the same	కానీ ఫలితం కేవలం అద్భుతమైన ఉంటుంది
but jagan did not speak out against narendra modi	కానీ మోదీకి వ్యతిరేకంగా జగన్ ఒక్క మాట కూడా మాట్లాడరు
nehru yuva kendra sangathannyks national youth corps nyc national programme for youth adolescent development npyad international cooperation youth hostels yh assistance to scouting guiding organizations national discipline scheme nds and national young leaders programme nylp	నెహ్రూ యువ కేంద్ర సంఘటన్ ఎన్ వైకెఎస్ నేశనల్ యూత్ కోర్ ఎన్ వైసి నేశనల్ ప్రోగ్రామ్ ఫర్ యూత్ అడాలసెంట్ డివెలప్ మెంట్ ఎన్ పివైఎడి ఇంటర్ నేశనల్ కోఆపరేశన్ యూత్ హాస్టల్స్ వైహెచ్ స్కౌటింగ్ గైడింగ్ సంస్థలకు సహాయం నేశనల్ డిసిప్లిన్ స్కీమ్ ఎన్ డిఎస్ ఇంకా నేశనల్ యంగ్ లీడర్స్ ప్రోగ్రామ్ ఎన్ వైఎల్ పి
all accused in dadri lynching case arrested	దాద్రి ఘటనలో నిందితులందరి అరెస్ట్
calcium is crucial for bone health and teeth	ఎముకలు మరియు దంతాల పెరుగుదలకు కాల్షియం ఉపయోగపడుతుంది
where and how was it generated	ఎక్కడ మరియు ఎలా అది వచ్చింది
pak rejects indias offer	భారత్ ఆఫర్ ను తిరష్కరించిన పాక్ ప్రధాని
oneman show cuts both ways narendra modi is experiencing it	వన్ మెన్ షో నరేంద్ర మోడీపై వీహెచ్ ఫైర్ కెసిఆర్పై పొన్నాల
zozibini tunzi was crowned by last years winner miss universe catriona gray	విశ్వసుందరి అయిన కాట్రియోనా గ్రే టుంజీ కి కిరీటాన్ని అలంకరించి అభినందించారు
how do the following scriptures help us to discern the timing of the first resurrection	మొదటి పునరుత్థాన సమయాన్ని గ్రహించేందుకు ఈ క్రింది లేఖనాలు ఎలా సహాయం చేస్తాయి
show unmanaged windows on	నిర్వహించని విండోలను దీనిపైన చూపుము
oncospheres can survive in the environment for up to two months	మాంగోస్టీన్ పండు నుండి తీసిన విత్తనాలు బయట వాతావరణంలో  రోజులకంటే ఎక్కువ కాలం జీవించవు
dont leave me	అయినా నన్ను విడిచి నువ్వు ఉండనేలేదు
the results are the same	వే ఫలితాలు
a lot of it is very similar	వాటిల్లో చాలా వరకూ ఒకేలా ఉన్నాయి
hows it	ఎలా ఉందంటారు
its not just about cultural norms	ఇది కేవలం సంస్కృతి నీతికి సంబంధించిన సంగతి కానేకాదు
we may face fatigue discouragement or feelings of worthlessness	శారీరక లేదా మానసిక అలసట నిరుత్సాహం లేదా మనం పనికిరానివాళ్లమనే భావం
george dk	జార్జి డికె
due to the lockdown the migrant workers are leaving for their native places after unable to find work	లాక్డౌన్ కారణంగా చేస్తున్న పని పోవడంతో వలస కార్మికులు కాలి నడకన సొంత ప్రాంతాలకు వెళ్తున్నారు
the kids had to be hauled out	పిల్లల్ని లాలించాలి
jaipur rural col rajyavardhan singh rathore	రాజ్యవర్ధన్ సింగ్ రాథోర్ ఒలింపిక్ పతక విజేత జైపూర్ రూరల్
it is only about	వాటిలో లెక్క చూపేది కేవలం  శాతమే
praying together	కలిసి ప్రార్థించండి
corruption in the healthcare sector	వైద్య ఆరోగ్యశాఖలో అవినీతి జలగలు
i asked flabbergasted	అడిగాను బుజ్జగిస్తున్నట్లుగా
the incident was recorded in the cctv camera	ఈ ఘటన అక్కడ ఏర్పాటు చేసిన సీసీ కెమెరాలో రికార్డు అయ్యింది
it is used to treat liver and spleen diseases	చికిత్సా ప్రయోజనాల కోసం అది మూత్రపిండాల మరియు కాలేయం అనారోగ్యాలు నివారణకు ఉపయోగిస్తారు
i am not playing us open	నేను ఐపీఎల్లో ఆడటంలేదు
he went to the usa to watch the new york yankees match	న్యూయార్క్ వేదికగా జరుగుతున్న యుఎస్ ఓపెన్కి అతడు హాజరయ్యారు
are you interested	మీరంటే ఆసక్తి
he thanked everyone who voted for him	తన ఎన్నికకు సహకరించిన ప్రతి ఒక్కరికి కృతజ్ఙతలు తెలిపారు
i just spoke to her	నేను ఆమె గురించి మాత్రమే బహిరంగంగా మాట్లాడాను
developing a childs skills of independence is very important	పిల్లల మేధో అభివృద్ధి చాలా ముఖ్యం
the new system is expected to be operational next month	ఈ నూతన విధానాన్ని వచ్చే నెల నుండి ప్రారంభించనున్నారని సమాచారం
the us had already levied per cent tariffs on billion worth of chinese goods	అమెరికాలో  బిలియన్ డాలర్ల మేరా విలువ చేసే చైనా వస్తువులపై సుంకం శాతం పెంచుతున్నట్లు చెప్పారు
dont smoke	సీసా ఉంచవద్దు
are you responsible	నువ్వు బాధ్యత వహిస్తావా
in the end the debate was left open	ఎట్టకేలకు ఆ చర్చకు తెర పడింది
crore	కోట్లు పెరిగాయి
the entire city is dolled up	నగరమంతా జలమయం
do you exercise on an empty stomach	ఖాళీ కడుపుతో వ్యాయామం చేస్తే మంచిదా
everything is perfect	అన్నీ ఆదర్శంగానే
review hickys bengal gazette the untold story of indias first newspaper by andrew otis	ఆండ్రూ ఓటిస్ హికీస్ బెంగాల్ గెజిట్ ద అన్ టోల్డ్ స్టోరీ ఆఫ్ ఇండియాస్ ఫస్ట్ న్యూస్ పేపర్ రచయిత
the gb ram helps during multitasking	నిక్షిప్తం చేసిన జీబి ర్యామ్ వేగవంతమైన మల్టీ టాస్కింగ్కు ఉపకరిస్తుంది
then add chopped onion	తరువాత తరిగిన గుమ్మడికాయ జోడించండి
english proficiency	ఆంగ్లభాష ప్రావీణ్యం
now its more popular	ఇప్పుడు బంగ్లాదేశ్లో ఉంది
each player scores differently	ప్రతీ ఆటగాడు ఏదో ఒక షాట్ వల్ల గుర్తింపు తెచ్చుకుంటాడు
anand mahindra shares a hilarious video	గర్బా నృత్య వీడియోను షేర్ చేసిన ఆనంద్ మహీంద్రా
continuation of urban reforms like planned urbanization setting up of regulatory board auditing of accounts etc	ప్రణాళికాబద్ధమైన పట్టణీకరణ నియంత్రణ బోర్డు ఏర్పాటు ఖాతాల ఆడిటింగ్ వంటి పట్టణ సంస్కరణల కొనసాగింపు
inch	అంగుళాల
garware technical fibres	గర్వారే టెక్నికల్ ఫైబర్స్
the system is ruined	వ్యవస్థ అస్తవ్యస్తమవు తుంది
a meal for rs	మధ్యాహ్న భోజనం ఆయాల జీతాన్ని రూ
the fare at present is rs	ప్రస్తుతం ఆ బ్యాంక్ షేరు విలువ రూ
it has not yet come	ఇంకా రాలేదు
some business companies and associations participated	మొత్తం  మందికిపైగా కంపెనీలు ప్రతినిధులు పాల్గొంటున్నారు
turmeric powder tsp	మెంతి పొడి   టీ స్పూన్
following his presentation haykaz had more opportunities to speak to his classmates and to discuss the bible based position of the witnesses on blood transfusion alcohol and morals	తన నివేదిక సమర్పించడం పూర్తయిన తర్వాత హైకాస్కు తన తోటి విద్యార్థులతో మాట్లాడేందుకు రక్తమార్పిడి మద్యం నైతికతల విషయంలో సాక్షుల బైబిలు ఆధారిత స్థానం గురించి చర్చించేందుకు మరిన్ని అవకాశాలు లభించాయి
blue and orange and yellow and green	నీలం నీలం ఆకుపచ్చ రెడ్ కలర్ మరియు రిచ్ రంగుల
the markets are at an alltime high	మార్కెట్లు ఆల్టైమ్ గరిష్టాల్లో ఉన్నాయి
do abs exercises	అబ్స్ వ్యాయామాలను
ready for ipl	ఐపీఎల్ కోసం ఆతురతగా ఎద
the battle of panipat	పానిపట్ యుద్ధం
do not allow tv to rob you of these valuable moments	ఇలాంటి విలువైన సమయాన్ని దోచుకునేందుకు టీవీని అనుమతించకండి
the government has taken no such decision	ఈ సమయంలో ప్రభుత్వం ఎటువంటి నిర్ణయం తీసుకోలేదు
i dont believe in them	నాకే వాటిపై నమ్మకం లేదు
the incident caused a stir in the city	ఈ సంఘటన నగరంలో కలకలం సృష్టించింది
the airplane was a fokker belonging to iran air the fars news agency reported	ఇరాన్ ఎయిర్ సంస్థకు చెందిన ఫాకర్  విమానంలో ఈ ప్రమాదం చోటుచేసుకుంది
hope it gets	వస్తుందని ఆశిస్తున్నా  అని పేర్కొన్నారు
she was so angry	అంతే ఆమెకు కోపం వచ్చింది
asked the producers	అంటూ నిర్మాతలు ప్రశ్నించారు
the door opens again	గేట్ ఓపెన్
it earned over rs crore	కోట్లకు పైగా వసూళ్లను సాధించింది
whats the security like	భద్రత ఎలా
traditions and practices	సంప్రదాయాలు మరియు ఆచారాలు
who are these kids	ఎవరీ పిల్లలు
our two countries are very uniquely positioned to complement each other	మన రెండు దేశాలు ఉభయతారకంగా సహకరించుకోగల స్థితిలో ఉన్నాయి
to meet pm modi	ప్రధాని మోడీతో భేటీపై
the plane crashed shortly after taking off	మరికాసేపట్లో ల్యాండ్ అవుతుందనగా విమానం ఒక్కసారిగా దిశమార్చుకుంది
scroll down to watch below	ఈ దిగువ పరిశీలించి క్రిందికి స్క్రోల్ చేయండి
on the other hand some bridegrooms arrange for appropriate music a time for dancing and alcohol served in moderation	ఆఫ్రికాలో కొందరు పరిణతి లేనివారు మర్యాదకరమైన క్రైస్తవ వివాహాల్ని నిరసిస్తూ వాటికి హాజరు కావటం అంత్యక్రియలకు హాజరుకావటంగా ఉందని అంటారు
but god is god	కానీ దేవుడికి చెవుడు
for farmers rs	పాడి రైతులకు ప్రతి లీటర్పై ఇచ్చే రూ
world wide terror	ప్రపంచ తీవ్రవాదం
on the other hand priyanka chopra and nick jonas are enjoying their marital bliss to the fullest	అయితే ఇవన్నీ పక్కన పెడితే నిక్ జోనస్ ప్రియాంక చోప్రా జంట మాత్రం ఫుల్లుగా ఎంజాయ్ చేస్తూ హ్యాపీగా గడుపుతున్నారు
she won eight singles titles during her career	కెరీర్లో ఎనిమిది సింగిల్స్ టైటిళ్లను సాధించాడు
thats its specialty	అదే దీని ప్రత్యేకత
beyond the us	యునైటెడ్ స్టేట్స్ వెలుపల
vijay deverakonda gifted allu arjun a custommade rowdy brand sweatshirt and allu posted the same on twitter to thank vijay for the special gift	అల్లు అర్జున్ కు విజయ్ దేవరకొండ రౌడీ బ్రాండ్ టీ షర్ట్ ట్రాక్ మరియు స్పెషల్ మాస్క్ లను కూడా పంపించాడు
bjp has won seats	టీడీపీకి  సీట్లు వచ్చాయి
individual artists	ఆంధ్రభూమి మాసపత్రిక
the winter is starting	ఇక చలి కూడా మొదలైపోతుంది
crores	కోట్ల రూపాయలను విరాళంగా అందించారు
the incident reportedly occurred when an rtc bus hit the motorcycle	ఆర్టీసీ బస్సు ఢీకొనడంతో ఈ ప్రమాదం జరిగింది
haryana cm manohar lal khattar cast his vote in karnal	కర్నల్లో ఓటు వేసిన హర్యానా సీఎం మనోహర్ లాల్ ఖట్టర్
additional functions	అదనపు ప్రమేయాలు
final day	ఆఖరు రోజు ఆట
country france	దేశం ఫ్రాన్స్
cabinet approves raising of indian reserve battalions by jk and lwe states	కేంద్ర మంత్రివర్గ సమావేశానికి ప్రధాన మంత్రి శ్రీ నరేంద్ర మోదీ అధ్యక్షత వహించారు
seven songs	ఏడు పాటలతో కనువిందు
je suis content de vous english soldiers	నూరు తెలంగాణ నానీలు నానీలు నాన్నా
abraham lincoln was the first republican president	హత్యకు గురయిన తొలి అమెరికన్ ప్రెసిడెంట్ అబ్రహాం లింకన్
he has appeared in a number of hindi films	ఆమె పలు హిందీ చిత్రాలలో నటించింది
story line	స్టోరీ లైన్
he was later deported to saudi arabia	తర్వాత సౌదీ అరేబియాకు పారిపోయాడు
parents need to focus on their childrens behavior	పిల్లల ప్రవర్తనపై ఇంటి పెద్దలే కన్నేసి ఉంచాలి
new york jun bollywood stalwarts amitabh bachchan salman khan akshay kumar and indian cricket captain mahendra singh dhoni are among the worlds highestpaid celebrities according to the forbes annual list which is topped by by american boxer floyd mayweather	న్యూయార్క్ ప్రపంచంలోనే అత్యధిక పారితోషికం తీసుకుంటున్న టాప్  వినోదం ప్రముఖుల్లో అమితాబ్ బచ్చన్ సల్మాన్ ఖాన్ అక్షయ్ కుమార్ మహేంద్ర సింగ్ ధోనీ ఉన్నట్లు ఫోర్బ్స్ తాజాగా విడుదల చేసిన లిస్ట్లో ఉంది
however rs	కాని పంట చేతికి వచ్చే సరికి రూ
the original estimated cost of the project was rs	కాగా ఈ ప్రాజెక్టు వాస్తవ వ్యయం రూ
avoid credit card relief	క్రెడిట్ కార్డ్ డీఫాల్ట్ నుంచి సేవ్ అవండి
king became a home office law clerk in january	హైదరాబాదు రాజ్యం బ్రిటీష్ ఇండియాలో  లో రాచరిక రాజ్యంగాగా మారింది
follow physical distance	భౌతిక దూరం పాటిస్తారు
central board of direct taxes	కేంద్ర ప్రత్యక్ష పన్నుల బోర్డు వెల్లడి
the dialogues are good	డైలాగ్స్ చాలా బావున్నాయి
congress could not win even one seat	ఇక కాంగ్రెస్ ఒక్క స్థానంలోనూ విజయం సాధించలేక పోయింది
recently rs	ఇటీవల హుండీ ఆదాయం ద్వారా వచ్చిన రూ
key components of the model	మోడల్ ప్రధాన లక్షణాలు
anil ravipudi is the director	ఇవాళ దర్శకుడు అనిల్ రావిపూడి పుట్టినరోజు
gandhi jis full name was mohandas karamchand gandhi	గాంధీజీ పూర్తి పేరు మోహన్దాస్ కరంచంద్ గాంధీ మోహన్దాస్ అసలు పేరు కరంచంద్ తండ్రి పేరు గాంధీ ఇంటి పేరు గాందీ అంటే పచారి దినుసుల వర్తకుడు అని అర్థం వారి పూర్వీకులు వర్తక వాణిజ్యాలు సాగించారు కాని కొందరు వ్యాపారానికి బదులు ప్రభుత్వ ఉద్యోగాలు చేశారు తాత పోర్బందరుకు దివాను తండ
did you eat	అదేం తిండిరా
bjp is totally prepared for the assembly elections	బీజేపీ దేశవ్యాప్తంగా పార్లమెంట్ ఎన్నికలకు సంస్థాగతంగా సిద్ధమైందన్నారు
located in namakkal district in central tamil nadu region kolli hills is a riders paradise	కొల్లి హిల్స్ మధ్య తమిళ నాడులోని నమక్కల్ జిల్లాలో కలవు
here are some career options	కెరీర్ ఎంపికలు కిందివి ఉన్నాయి
social order	సోషల్ ఆర్డర్
odisha governments plea	దరఖాస్తు చేసిన ఒడిశా సర్కారు
the home currency opened at per dollar	డాలర్ మారకంలో రూపాయి  వద్ద ఫ్లాట్గా ముగిసింది
mans life is error	ఒక వ్యక్తి యొక్క జన్మదినం ఒక ముఖ్యమైన సంఘటన
no men allowed	మగవారికి ప్రవేశం లేదు
no one can	ఎవరు ఉండకపోవచ్చు
the state government bears the expenses	ఖర్చులను ప్రభుత్వాలు చెల్లిస్తున్నాయి
pm modi greets retired officers	మాజీ ఉద్యోగులను సన్మానించిన మోదీ
economy of the state is mainly dependent on agriculture	ఈ రాష్ట్ర ఆర్థిక వ్యవస్థ ప్రధానంగా ఇక్కడి వ్యవసాయ పరిస్థితులపైనే ఆధారపడి ఉంటుంది
it however failed to impress the audience	అయితే ఇది ప్రేక్షకులను ఆకట్టుకోవడంలో విజయం సాధించలేకపోయాడు
ayodhya is the birth place of lord ram	అయోధ్య రాముడు పుట్టినచోటు
article of the constitution bans engagement of children below the age of in factories mines and other hazardous employment	సంవత్సరాల లోపు పిల్లలను కర్మాగారాలలో గనులలో ఇతర ప్రమాదకరమైన పనులలో నియమించడాన్ని వ ఆర్టికల్ నిషేధించింది
governor kalyan singh and cm vasundhara raje welcomed the president by offering floral greetings at jaipur airport	రాష్ట్రపతి విమానాశ్రయం వద్దకు చేరుకోగానే కేరళ గవర్నర్ పి సదాశివన్ ముఖ్యమంత్రి పినరయి విజయన్ ప్రత్యేక స్వాగతం పలికారు
its	ది
asset quality improved as well	అస్సెట్ క్వాలిటీ సైతం మెరుగుపడింది
steps are being taken under the ecourt mission to computerize the entire court systems	న్యాయవ్యవస్థ అంతటినీ కంప్యూటరీకరించే ఇకోర్ట్ కార్యక్రమం అమలుకు చర్యలు చేపట్టాము
happy valentines day love	ప్రేమికుల రోజున ఉప్పెన వస్తోందట
crisps and chocolate cookies	చిక్పీస్ మరియు చాక్లెట్ తో బిస్కెట్లు
she couldnt answer it	ఆమె జవాబు చెప్పలేక తడబడింది
mumbai bridge collapse	ముంబయిలో కూలిన పాదచారుల వంతెన
the scared villagers had informed the forest department officials	ఎలుగుబంటి సంచారంతో భయందోళన చెందిన గ్రామస్తులు అటవీ శాఖ అదికారులకు సమాచారం అందించారు
its an unpleasant feeling	ఇది అసహ్యకరమైన అనుభూతిని కలిగిస్తుంది
two policemen die in accident	ట్రక్కు ఢీకొని ఇద్దరు పోలీసుల మృతి
sandeep died on the spot he added	సందీప్ అక్కడికక్కడే చనిపోయాడు
when do you start shooting	అంతేకాదు షూటింగ్ ఎప్పుడు స్టార్ట్ అవుతుందా
i inquired	అని ఆరా తీశాను
change is good	మార్పు మంచికే అంటున్నారు
crazy talk	పిచ్చి పిచ్చిగా మాట్లాడుతున్నారు
i thought he would win the match	వాడు గెలవడేమో అనుకున్నాను
he had told them not to follow doctors advice	అధైర్యపడకుండా వైద్యుల సలహాలను పాటించాలని ఆయనకు సూచించారు
victory venkatesh and naga chaitanya akkineni play the lead roles in the movie venky mama	విక్టరీ వెంకటేష్ అక్కినేని యంగ్ హీరో నాగచైతన్య కలిసి నటించిన చిత్రం వెంకీ మామ
be cautious while driving vehicle	వాహనం నడిపేటప్పుడు జాగ్రత్తగా ఉండండి
many people ask me	చాలా మందిని అడుగుతూ ఉంటాను
pldoras para el estrs pills for stress	మనస్సుకి ఆరాటం ఉద్విగ్నత   తగ్గించటం
who knows	ఏమో ఎవరికి తెలుసు
full details	పూర్తి వివరాల్లోకి వెళ్లే
all the best to ys jagan	వైఎస్ జగన్కు శుభాకాంక్షలు అందజేయాలంటే
i couldnt bear it	నేను భరించలేక పోయాను
it is a record in indian history	ఇండియన్ సినిమా చరిత్రలో ఇది ఓ రికార్డ్ గా చెపుతున్నారు
the industry is growing	పరిశ్రమలు పెరుగుతున్నాయి
earlier on sunday the security forces busted an old militant hideout in rajouris gadyog area of khawas in jammu and kashmir during a search operation	అంతకుముందు సెర్చ్ ఆపరేషన్లో భాగంగా ఆదివారం నాడు భారత భద్రతా బలగాలు ఖవాస్ ప్రాంతంలోని రాజౌరిలో ఓ తీవ్రవాదులు తలదాచుకున్న ఓ శిబిరాన్ని పేల్చి పారేశాయి
bus falls into gorge dead	కాలువలో పడ్డ బస్సు  మంది మృతి
when is the release date of the movie	ఫలితాల వెల్లడి ఎప్పుడు ఉంటుంది
she has acted as heroine and character roles in more than films	కి పైగా చిత్రాల్లో కథానాయకుడిగా హాస్యనటుడిగా సహాయనటుడిగా నటించాడు
it is mated to a speed gearbox	ఇది స్పీడ్ గేర్బాక్స్తో అనుసంధానం చేయబడి ఉంటుంది
in addition rs	అంతేకాకుండా రైతులకు సాయంగా రూ
demise of soldiers in siachen is very tragic	సియాచిన్ లో సైనికుల మరణం ఎంతో విషాదకరం
the state suffered	రాష్ట్రాన్ని అధోగతి పాలు చేశారు
it seems like its getting closer	అది దగ్గరగా వస్తున్నట్టు కనిపించసాగింది
director anil ravipudi	అనిల్ రావిపూడి దర్శకత్వ పర్యవేక్షణ మరో బాధ్యత తీసుకున్న స్టార్ డైరెక్టర్
institute worlds largest vaccine manufacturer is conducting trials for the vaccine developed by oxford university	ప్రపంచంలోని అతిపెద్ద టీకా తయారీ సంస్థ ఇన్స్టిట్యూట్ ఆక్స్ఫర్డ్ విశ్వవిద్యాలయం అభివృద్ధి చేసిన వ్యాక్సిన్ కోసం పరీక్షలు నిర్వహిస్తోంది
but the project has not fructified	కానీ ప్రాజెక్టు సెట్ అవ్వడం లేదు
the films preproduction was yet to be completed	ఈ చిత్రం పోస్ట్ ప్రొడక్షన్ కార్యక్రమాలు ఇంకా పూర్తి కాలేదు
article revoked	ఆర్టికల్  రద్దు ముఫ్తి కుమార్తె భావోద్వేగం
each tie consists of five rubbers which are played in three days usually on friday saturday and sunday	ప్రతి టైలో  రబ్బర్లు ఆటలు ఉంటాయి వీటిని  రోజులలో ఆడతారు సాధారణంగా శుక్రవారం శనివారం మరియు ఆదివారం
hundreds of thousands	ంద నుంచి వేలు
these examinations are essential	ఈ మూడు పరీక్షలు తప్పనిసరి
the killed included a woman and five children	మృతుల్లో ఓ చిన్నారితోపాటు ఐదుగురు మహిళలు ఉన్నారు
trifed is arranging atleast team meetings every day and the team is reaching out to partners to keep moving forward	ట్రైఫెడ్ రోజుకు కనీసం రెండు బృంద సమావేశాలను ఏర్పరచి సభ్యుల ఉన్నతికి తోడ్పడటంలో ప్రధానపాత్ర వహిస్తున్నాయి
people need to understand the situation of the state	రాష్ట్రంలో ప్రస్తుత పరిస్థితులను ప్రజలు గమనించాలి
lalu yadav in jail	లాలూ యాదవ్ జైల్లో ఉన్నారు
why do you	లా ఎందుకు పడుతున్నాయో
the entire look has changed	మొత్తం ఫేస్ కట్టే మారిపోయింది
it is rainy in summer and dry during winter	వేసవిలో ఎండతీవ్రత శీతాకాలంలో అధికంగా ఉంటుంది
lakh rs	లక్షలుఎంఎల్ సి కసిరెడ్డి నారాయణరెడ్డి రూ
congress shatru	కాంగ్రెస్ ఖుషీ
fry till the meat is cooked	డక్ మాంసం టెండర్ వరకు ఉడికించాలి
unable to cope	తట్టుకోలేక పోయాను
elopement plan	అల్లైడ్ ప్లాన్
pollution reaches to very dangerous level in delhi	దేశ రాజధాని ఢిల్లీలో కాలుష్యం స్థాయి అత్యంత ప్రమాదకర స్థితిలోకి పడిపోయింది
he didnt do well	అతను సరిగా పని చెయ్యడు
chandrababu naid	చంద్రబాబు నాయ క త్వం
because we belong to jehovah we give him exclusive devotion hence a true christian does not devote his life to some secular cause	ఆయన జాతీయ చిహ్నాలను గౌరవించినప్పటికీ చర్యల ద్వారాగానీ తన హృదయంలోగానీ వాటిని ఆరాధించడు
the book of enoch is an apocryphal and pseudepigraphic text	దాన్ని హనోకు వ్రాశాడని అబద్ధంగా ఆరోపించబడుతోంది
per ten gram of carat gold at rs	గ్రామలు  క్యారెట్ల బంగారం ధర రూ
in rs	ఉప్పల్ పరిధిలో రూ
he addressed media people at a press conference	ఈ సందర్భంగా మీడియా ప్రతినిధుల సమావేశంలో మాట్లాడారు
we learnt everything on the job she says	అన్న విషయాల గురించి ఆ ఉద్యోగం ద్వారా ఎంతో నేర్చుకున్నాను అని ఆమె గుర్తుచేసుకున్నారు
wash and clean the prawns well	బంగాళ దుంపలు శుభ్రంగా మరియు కాచు
a threemember bench of the apex court headed by chief justice asif saeed khan khosa comprising justice mazhar alam and justice syed mansoor ali shah heard the case	పెషావర్ హైకోర్టు ప్రధాన న్యాయమూర్తి జస్టిస్ వకార్ అహ్మత్ సేఠ్ సారథ్యంలో జస్టిస్ నజర్ అఖ్తర్ జస్టిస్ షాహిద్ కరీంలతో కూడిన ముగ్గురు న్యాయమూర్తుల ధర్మాసనం ఈ కేసులపై సమగ్ర విచారణ నిర్వహించింది
sureshs wife threatens suicide	చస్తానని బెదిరించడానికే వెళ్లాడు సురేశ్ భార్య
directed by sujeeth the movie is produced by uv creations	సుజీత్ దర్శకత్వం వహిస్తున్న ఈ చిత్రాన్ని యూవి క్రియేషన్స్ వారు నిర్మిస్తున్నారు
earn extra income	అదనపు ఆదాయం
the construction work is progressing quickly	దీనికి సంబంధించిన నిర్మాణం పనులు వేగవంతమవుతున్నాయి
event handler	చర్య నిర్వాహకం
some personalities make history	కొందరు చరిత్ర సృష్టిస్తారు
gearbox speed manual transmission	గేర్ బాక్స్  స్పీడ్ మ్యాన్యువల్ గేర్ బాక్స్
i dont get a lot of work	ఎక్కువ శ్రమ పడలేకపోతున్నాను
stay home if you are sick	మీరు జబ్బుపడిన ఉంటే ఇంట్లో ఉండడానికి
im ready to play	కబడ్డీ కబడ్డీ ఆడటానికి నేను రెడీ
the new lexus ls h carries forward the japanese carmakers rather distinct and eyecatching design language	జపాన్ దిగ్గజం లెక్సస్ ప్రపంచ దృష్టిని ఆకర్షించే మరియు అత్యంత భిన్నమైన డిజైన్ను తమ ఎల్ఎస్ హెచ్ సెడాన్లో అందించింది
the causes of the accident are being investigated	ప్రమాదానికి దారితీసిన కారణాలపై ఆరా తీస్తున్నారు
it does not die	అది చావదు
she has even had the joy of attending the pioneer service school caring for the increase	ఆమె పయినీరు సేవా పాఠశాలకు కూడా హాజరై దానిద్వారా ఆనందాన్ని అనుభవించింది
priyanka gandhi meeting victims family members	బాధితురాలి బంధువులను కాంగ్రెస్ నేత ప్రియాంకా గాంధీ పరామర్శించారు
ncp chief sharad pawar cpm general secretary sitaram yechury and cpis s sudhakar reddy attended the meeting	ఈ భేటీలో సిపిఐ జాతీయ ప్రధాన కార్యదర్శి సురవరం సుధాకర్రెడ్డితో పాటు సిపిఐ సీనియర్ నేత రాజా సిపిఐ నారాయణ తదితరులు పాల్గొన్నారు
she posted the photos on facebook	తరువాత ఆ ఫోటోలు ఫేస్ బుక్ లో షేర్ చేశాడు
do you wake up feeling tired in the morning	మీరు ఉదయం జబ్బుపడిన అనుభూతి
china warning	చైనా అప్రమత్తం
researchers studied men over a day period and fed them more of their energy required every day through fats and carbohydrates	పరిశోధకులు  రోజులపాటు  మంది పురుషులను అధ్యయనం చేశారు మరియు కొవ్వులు మరియు కార్బోహైడ్రేట్ల ద్వారా వారికి రోజుకు కావలసిన దాని కన్నా  అధిక శక్తిని తినిపించారు
category c	వర్గం
the ears get blocked	చెవులు దిబ్బడేసినట్టు ఉంటాయి
foreign media	ఇక విదేశీ మీడియా కూడా
he is like my father	అచ్చం నాన్నలా ఉన్నాడు
social media dictates everything	సోషల్ మీడియా ప్రతీ విషయంపై సెటైర్లు వేస్తూ ఉంటాడు
australia lose their first wicket	తొలివికెట్ కోల్పోయిన ఆస్ట్రేలియా
special appeal no	ఎ స్పెషల్ అప్పీల్ నెం
he promised the waiver of farmers loan upto lakh	లక్షల రుణ మాఫీ చేస్తామని ఆయన హామీ ఇచ్చారు
