son of naresh yadav	నరేష్ యాదవ్ కుమారుడు
her body was sent to hospital for a post mortem	ఆమె మృతదేహాన్ని పోస్టుమార్టం కోసం ఆసుపత్రికి తరలించినట్టు పేర్కొన్నారు
dont ask	అడగడానికి లేదు
that is extra work	ఇది అదనపు పనిని కలిగించేది
both greeted each other	ఇద్దరూ హాయ్ అంటూ పలకరించుకున్నారు
it is slow	అదీ నిదానంగానే
awain keys ceo jalmari mattila was quoted as saying as a passionate car enthusiast myself i believe that the very best cars in the world deserve the very best keys and our pieces really make a statement of excellence	అవాన్ కీస్ సిఈఓ జల్మారి మట్టిలా మాట్లాడుతూ నాకు ఒక ఉత్సాహభరితమైన కారు ఉత్సాహం ప్రపంచంలో అత్యంత ఉత్తమమైన కార్లు చాలా ఉత్తమమైన కీలు అవసరం మరియు మా కీస్ నిజంగా శ్రేష్ఠమైన ప్రకటన చేస్తాయని నేను నమ్ముతున్నాను
the chief minister was accompanied by state agriculture minister somireddy chandramohan reddy senior officials of the agriculture department district collector and local public representatives	సమావేశంలో వ్యవసాయ మంత్రి సోమిరెడ్డి చంద్రమోహన్రెడ్డి రాష్ట్ర ప్రణాళికా మండలి ఉపాధ్యక్షుడు చెరుకూరి కుటుంబరావు వ్యవసాయ అనుబంధ రంగాల శాఖల ఉన్నత కార్యదర్శులు అధికారులు పాల్గొన్నారు
the dancedrama is directed by remo dsouza	నృత్య దర్శకుడు రెమో డిసౌజా తెరకెక్కించారు
this article will consider situations in various regions some may differ considerably from what you know of or from what is done in your area	వీటిలో కొన్ని మీకు తెలిసిన లేదా మీ ప్రాంతంలో జరిగే దానికి చాలా భిన్నంగా ఉండవచ్చు
some consider kushari a mixture of rice lentils and macaroni to be the national dish	కొందరు కుషారి బియ్యం కాయధాన్యాలు మాకరోనీల మిశ్రమం ను జాతీయ వంటకంగా భావిస్తారు
the government paid one months salary advance to telangana ngos when they had gone on strike for over a month in demanding creation of a separate state	విభజన కోసం తెలంగాణకు చెందిన ప్రభుత్వోద్యోగులు గతంలో సమ్మె చేసినప్పుడు ఒక నెల జీతాన్ని ప్రభుత్వం అడ్వాన్సుగా ప్రకటించడం తెలిసిందే
three security members were also killed in the attacks	ప్రతిగా భద్రతా బలగాలు ముగ్గురు ఉగ్రవాదుల్ని హతమార్చాయి
there is no politics	రాజకీయ నీతిలేదు జాతీలేదు నీది నాలుకా తాటిమట్టా
the most popular options are	ఈ క్రింది ప్రముఖ ఎంపికలు ఉన్నాయి
but all that was before the polls	కానీ జరగాల్సిందంతా ఓటింగ్ సమయంలోనే జరిగిపోయింది
we wish him happiness and success	యొక్క అతనిని అదృష్టం మరియు ప్రేరణ అనుకుంటున్నారా లెట్
but this is not the way	కాని ఆ పెళ్లి జరగదు
terrorism has been defined as the unlawful use or threatened use of force or violence by a person or an organized group against people or property with the intention of intimidating or coercing societies or governments often for ideological or political reasons	ఉగ్రవాదం అనే పదం సాధారణంగా సిద్ధాంతపరమైన లేక రాజకీయపరమైన కారణాలనుబట్టి సమాజాలను లేక ప్రభుత్వాలను భయపెట్టాలనో వాటిపై ఒత్తిడి తీసుకురావాలనో ప్రజలమీద లేక ఆస్తులమీద ఒక వ్యక్తి లేక వ్యవస్థీకరించబడిన ఒక గుంపు చట్టవిరుద్ధంగా బలప్రయోగం చేయడం లేక అలా చేస్తామని బెదిరించడం  అని నిర్వచించబడింది
harshvardhan kapoor who is son of actor anil kapoor and younger brother of actress sonam kapoor making his debut with this film	బాలీవుడ్ నటి సోనమ్ కపూర్ సోదరుడైన హర్షవర్ధన్ కపూర్కు జోడీగా ఓ సినిమాలో నటించబోతున్నారట
the government also approached the supreme court against this	ఇందు కోసం ప్రభుత్వం సుప్రీంకోర్టులో కూడా పోరాడుతుంది
recall the account of the two prostitutes who argued before solomon over which one of them was the actual mother of a child	ఉదాహరణకు ఒక సందర్భంలో తన దగ్గరకు వచ్చిన ఇద్దరు స్త్రీలలో బిడ్డకు జన్మనిచ్చిన తల్లి ఎవరో సొలొమోను తెలుసుకోవాలనుకున్నాడు
this can damage the heels	వీటి వలన కాలివేళ్ళ గోళ్ళు దెబ్బ తినే అవకాశం వుంది
though we are few in number compared with the nations our zealous share in the kingdom preaching and disciple making activity brings us to the worlds attention	జనాంగాలతో పోల్చుకుంటే మనం సంఖ్యాపరంగా తక్కువగానే ఉన్నప్పటికీ మనం రాజ్య ప్రకటనా పనిలోను శిష్యులను చేసే పనిలోను అత్యంతాసక్తితో పాలుపంచుకోవడం ప్రపంచ దృష్టిని ఆకర్షిస్తుంది
the new versys has been priced at rs	కవాసకి వారి సరికొత్త స్పోర్ట్స్ బైక్ వెర్సేస్  అడ్వెంచర్ టూరర్ ధర రూ
ministry of women and child development signs mou with ministry of ayush for integration of ayush systems with ongoing nutrition interventions under the icds program	దేశంలో ఆందోళనకరంగా మారుతున్న పౌష్టికాహార సమస్య పరిష్కారం దిశగా ఐసీడీఎస్ కార్యక్రమం కింద కొనసాగుతున్న పోషకాహార కార్యక్రమాలతో ఆయుష్ వ్యవస్థలను జోడించడానికి ఆయుష్ మంత్రిత్వ శాఖతో మహిళాశిశు అభివృద్ధి మంత్రిత్వశాఖ ఒక అవగాహన ఒప్పందం కుదుర్చుకుంది
nonetheless the apostle paul realized that his fellow believers should imitate jesus and thus be humble in their dealings with one another corinthians philippians	దానియేలు   ఏదేమైనప్పటికీ తన తోటి విశ్వాసులు మాత్రం యేసును అనుకరిస్తూ తమ పరస్పర వ్యవహారాల్లో వినయం ప్రదర్శించాలని అపొస్తలుడైన పౌలు గ్రహించాడు    కొరింథీయులు   ఫిలిప్పీయులు
little girls	సమ్థింగ్ గర్ల్స్
to which the commissioner of police bangalore city responded saying visibility is must for side glasses	దీనికి బెంగుళూరు నగర పోలీసు కమిషనర్ స్పందిస్తూ సైడ్ గ్లాసెస్ కోసం  శాతం విజిబిలిటీ తప్పనిసరిగా ఉండాలి
how does the device work	ఎలా పరిశీలనలో పరికరం ఆపరేట్
former puducherry cm v narayanasamy	పుదుచ్చేరి మాజీ సీఎం నారాయణస్వామి విమర్శ
one nation one election is among the issues to be discussed at the meeting	వన్ నేషన్ వన్ ఎలక్షన్ కు సంబంధించి ఆ సమావేశంలో చర్చించనున్నారు
as such people are not facing any problem	దీంతో ప్రజలు ఇబ్బందులను ఎదుర్కొక తప్పడంలేదు
some things to consider	పరిగణించవలసిన కొన్ని విషయాలు
washington us president donald trump has ratcheted up the trade war rhetoric with china saying he was considering an additional billion in tariffs on the country the media reported	వాషింగ్టన్  అమెరికా అధ్యక్షుడు డొనాల్డ్ ట్రంప్ మరో  బిలియన్ డాలర్ల విలువైన సుంకాలను చైనా దిగుమతులపై పెంచేందుకు నిర్ణయం తీసుకుని వాణిజ్య వివాదాన్ని మరింత పెంచారు
sounds unbelievable	వినడానికి నమ్మశక్యంగా లేదు కదూ
ncw chairperson rekha sharma recently met maharashtra governor bhagat singh koshyari	మా చైర్ పరస్సర్ రేఖా శర్మ మహారాష్ట్ర గవర్నర్ శ్రీ భగత్ సింగ్ కొష్యారీని కలిశారు
he has our full support	మాకు పూర్తి మద్దతు లభిస్తుంది
maruti suzuki announces new car subscription service	కొత్త ఎర్టిగా కారు ఖరిదుకు బుక్కింగ్ ప్రారంభిచిన మారుతి సుజుకి
the film was also premiered at the toronto film festival	ఇప్పటికే ఈ సినిమాను టొరంటో ఫిలిం ఫెస్టివల్ లో కూడా ఈ సినిమాను ప్రదర్శించారు
i chose that one	నేను దీనికి అవును ఎంచుకున్నాను
new delhi the honourable supreme court has given its verdict on the ayodhya issue	న్యూఢిల్లీ అయోధ్య భూవివాదంలో సుప్రీంకోర్టు తుది తీర్పు వెలువరించింది
the noida city located in gautam buddha nagar district of uttar pradesh state was created under the uttar pradesh industrial area development act	నేపథ్యం  నోయిడా సిటీ ఉత్తరప్రదేశ్ రాష్ట్రంలోని గౌతమబుద్ధ నగర్ జిల్లాలో ఉంది
for the first time in history a major infectious disease had been eliminated	చరిత్రలో మొదటిసారిగా ఒక ముఖ్యమైన అంటువ్యాధి నిర్మూలించబడింది
all these people belong to the same family of the village	అందరూ ఆ వుమ్మడి కుటుంబంలోని జనాభానే
it has been a tough few months for the congress in karnataka	గత కొన్ని నెలలుగా కర్నాటకలోని కాంగ్రెస్ ప్రభుత్వం ఒకటి వెంట ఒకటిగా అనేక సంక్షోభాల్లో ఇరుక్కుంటోంది
do not interfere in matters of others	ఇతరుల విషయాల్లో జోక్యం చేసుకుని అవమానం పాలవకండి
voter lists	ఓటర్ల జాబితాలో సిత్రాలు
the festival of holi celebrates the victory of good over evil	చెడుపై మంచి విజయం సాధించినందుకు హోళీ పండగను జరుపుకుంటారు
i want to do films like that	అలాంటి సినిమాల్లో చేయాలని ఉంది
hows it going people	ప్రజల్లోకి ఏ విధంగా వెళ్తున్నారు
the citizenship amendment act caa is only meant to provide citizenship to religious minorities from pakistan bangladesh and afghanistan	ఇక పౌరసత్వ సవరణ చట్టం అనేది  పాకిస్తాన్ ఆఫ్గనిస్తాన్ బంగ్లాదేశ్ నుంచి వచ్చే ముస్లిం శరణార్థులకు పౌరసత్వం ఇవ్వడానికి మాత్రమే వ్యతిరేకం
been to	గా మారింది
however the car does not feature an electronic boot but the boot lid is extremely light to open and close	కానీ ఈ కారులో ఎలక్ట్రానిక్ బూట్ లేదు కానీ బూట్ లిడ్ ఓపెన్ చేయడానికి మరియు క్లోస్ చేయడానికి చాలా సులభంగా ఉంటుంది
you wont walk again	మీకెప్పుడూ తిరుగుండదు
anushka sharma too will be a part of the project	ఈ వేడుకలో అనుష్క శర్మ కూడా జాయిన్ అయింది
lemon juice table spoons	నిమ్మ రసం   టేబుల్ స్పూన్లు
vivek raj	వివేక్ రాజ్
wear natural fabrics	సహజ దారాలతో తయారు చేసిన వస్త్రాలను ధరించాలి
for if we hadnt delayed surely we would have returned a second time by now	మాకు తడవు కాక పోయినయెడల ఈపాటికి రెండవ మారు తిరిగి వచ్చి యుందుమని చెప్పగా
several such conflicts have erupted in the past	ఈమధ్య ఇలాంటి గొడవలు ఎన్నో బయటకు వచ్చాయి
for every rs	ప్రతి గ్రామంలో రూ
he said he was proud to receive the honour	ఈ సందర్భంగా అవార్డును అందుకోవడం గర్వంగా ఉందని కీర్తి పేర్కొంది
it provides numerous health and cosmetic benefits	కలబందలో అనేక ఆరోగ్య మరియు చర్మ రక్షణ ప్రయోజనాలు ఉన్నాయి
the words dried out	మాటలు ముదిరి సేతల్లోకొచ్చినాయి
there are seats for each class	ఒకొక్క సెక్షన్కి  మార్కులు ఉంటాయి
in this way we are certain to place the new truth securely in our own treasure store	అలా జాగ్రత్తగా అధ్యయనం చేసినప్పుడు బైబిలు సత్యాలతో నిండిన మన ఖజానాలో ఆ కొత్త సత్యం కూడా చేరుతుంది
add chopped tomatoes red chilli powder and salt	టమోటా పేస్ట్ ఉప్పు తరిగిన పచ్చి ఉల్లిపాయలు మరియు మిరియాలు జోడించండి
best wishes to the people of himachal pradesh on their statehood day	హిమాచల్ ప్రదేశ్ రాష్ట్రావతరణ దినం సందర్భం గా ఆ రాష్ట్ర ప్రజల కు శుభాకాంక్షలు
educational institutions	విద్యా సంస్థలు
it is a muchawaited movie because saaho is the first film of prabhas after baahubali	బాహుబలి సిరీస్ తరువాత ప్రభాస్ నటిస్తున్న చిత్రం కావడంతో ఈ సినిమాపై భారీ అంచనాలు నెలకొన్నాయి
the security cover for pm modi has been enhanced in wake of the threat	ప్రధాని మోదీకి ముప్పు ఎక్కువగా ఉన్న నేపథ్యంలో మోదీ భద్రతను మరింతగా పెంచేందుకు
he did not rule out an alliance with the congress	కాంగ్రెస్ తో పొత్తు వ్యవహారంలో ఆయన మెట్టు దిగట్లేదు
bjp leaders rushed to slam aiyar	ఇక బీజేపీ నేతలు అయ్యర్పై విరుచుకుపడ్డారు
australia thrashed new zealand in the threematch test series	న్యూజిలాండ్తో జరిగిన మూడు టెస్టు మ్యాచ్ల సిరీస్ను తేడాతో విజయం సాధించింది
highlights of the governors speech	గవర్నర్ ప్రసంగంలోని ముఖ్యాంశాలు
subsequently they were interrogated	తర్వాత వీరిని విచారించింది
some army personnel and their family members were on their way to uttarakhand and had stopped at the restaurant for lunch	ఉత్తరాఖండ్ కు వెళ్తూ సైనికులు వారి కుటుంబ సభ్యులు మధ్యాహ్న భోజనం కోసం రెస్టారెంట్ లో ఆగారు
the answer surprised her	దానికి అతడు చెప్పిన సమాధానం విని ఆమె ఆశ్చర్య పోయింది
is this important	ఈ సందర్భంలో ముఖ్యం
rajashekar is also being treated at the hospital	కాగా హీరో రాజశేఖర్ ఇంకా ఆస్పత్రిలోనే చికిత్స పొందుతున్నారు
traffic violation	ట్రాఫిక్ నిబంధనల ఉల్లంఘన
court membership	న్యాయస్థానంలో సభ్యత్వం
it has two bedrooms with a large hall	వారు హాలు కనెక్ట్ రెండు విశాలమైన బెడ్ రూములు కలిగి
there are many methods	అనేక సాధారణ పద్ధతులు ఉన్నాయి
he said one	ఆయన ఒకె అనేసారు
wash your hair the next day	మరుసటి రోజు బాగా కడగండి
so we are happy	అప్పుడు మేము సంతోషించండి
at least people have died in china so far	చైనాలో ఇప్పటికే ఈ వైరస్ కారణంగా  మంది మరణించారు
rajamouli is the director of the film	రాజమౌళి ఈ చిత్రాన్ని గొప్పగా తెరకెక్కిస్తున్నారు
results of some more samples are awaited	మరికొన్ని నమూనాల రిజల్ట్స్ రావాల్సి ఉంది
that is way too little	ఇది చాలా చిన్నది
but the movie failed to meet the expectations of the audience	కానీ ఈ చిత్రం ఆశించిన స్థాయిలో ప్రేక్షకులను ఆకట్టుకోలేక పోయింది
poverty has increased	కరువు పెరిగింది
production on the movie is still underway and the release date is yet to be announced	సినిమా ఇంకా ఓ పక్క షూటంగ్ ల్లో వుండగానే విడుదల తేదీని ప్రకటించేస్తున్నారు
this caused tension for some time	దీనితో కాసేపు అక్కడ గందరగోళ పరిస్థితులు నెలకొన్నాయి
seven killed in road accident	రహదారిపై పొగమంచు ఏడుగురు మృతి
he did say that	ఆయన చెప్పింది చేశాను
some states did excellently well	దేశంలో కొన్ని రాష్ట్రాలు అద్భుతమైన పనితీరు కనబరిచాయి
but this is all false	యితే అవన్నీ అబద్ధాలేనని
we dont know how they are being used	యంత్రాల వినియోగం మాకు తెలీదు
another got injured seriously in this incident	ప్రమాదంలో మరొకరికి తీవ్రంగా గాయాలయ్యాయి
eleven persons	పన్నెండు మంది
but the chief minister had not replied	కానీ ముఖ్యమంత్రి ఇంత వరకు స్పందించలేదు
the condition of some of the injured is stated to be serious	గాయపడిన వారిలో కొందరి పరిస్థితి విషమంగా ఉన్నట్లు సమాచారం
then the engine stalled	ఇంతలో ఇంజిన్ ఆగిపోయింది
chhattisgarh shocker newlywed couple burns nephew niece alive for disturbing their privacy	రాయ్పూర్ తమ కాపురానికి అడ్డుగా ఉన్నారని కొత్తగా పెళ్లయిన ఓ జంట తమ మేనకోడలు మేనల్లుడును సజీవంగా దహనం చేశారు
brief about anantapur new delhi kisan rail	అనంతపురం  న్యూ ఢిల్లీ కిసాన్ రైలు గురించి
for reversing disease thats what it takes	రివర్సింగ్ వ్యాధికి అది సరైనదేకానీ మీరు
olive oilone tbsp	ఆల్మండ్ ఆయిల్  అర టీస్పూన్
ins by the constitution one hundred and second amendment act	సంవిధాన నూట రెండవ సవరణ చట్టము  యొక్క వ పరిచ్ఛేదము ద్వారా ఏ అనుచ్ఛేదము
what are the similarities	ఏం పోలికలు ప్రాణులు ఉన్నాయి
nearest metro station	దగ్గరి రైల్వే స్టేషన్లు
from merely one lab in january the country is today enriched by labs with in the government sector and private labs	కాగా  జనవరినాటికి దేశంలో ఒకేఒక ప్రయోగశాల ఉండగా ఈ నెట్వర్క్ స్థిరంగా విస్తరిస్తూ ప్రభుత్వ రంగంలో  ప్రైవేటు రంగంలో  వంతున నేడు  ప్రయోగశాలలు అందుబాటులో ఉన్నాయి
the roads need to be upgraded according to the increase in population they said	పెరుగుతున్న జనాభాకు అనుగుణంగా రోడ్ల విస్తరణ చేపట్టాల్సిన అవసరం ఉందని స్పష్టం చేశారు
directed by amole gupte	విభిన్న చిత్రాల దర్శకుడు అమోల్ గుప్తే దర్శకత్వంతో రూపొందుతున్న ఈ
the litre turbodiesel engine puts out a maximum power output of bhp and a peak torque output of nm	లీటర్ టర్బోడీజల్ ఇంజన్ లో  బిహెచ్పి యొక్క గరిష్ట పవర్ అవుట్ పుట్ ను మరియు  ఎన్ఎమ్ టార్క్ ను ఉత్పత్తి చేస్తుంది
want to live a healthy and long life	దీర్ఘకాలం పాటు సంతోషంగా ఆరోగ్యం ఉండాలనుకుంటున్నారా
is it any good	ఏమైనా బాగుంటుందంటావా
the duration can be extended if needed	అవసరమైన సందర్భాల్లో కాలపరిమితిని పొడిగించుకునే వీలు కూడా ఉంది
why are you bothered	మీరు ఎందుకంత భాద పడుతున్నారు
depressing scene	కడు విషాద సన్నివేశం
on prime minister boris johnsons cabinet table sit three indianorigin ministers	బ్రిటన్ కొత్త ప్రధాని బోరిస్ జాన్సన్ మంత్రి మండలిలో భారత సంతతికి చెందిన ముగ్గురు వ్యక్తులకు కీలక పదవులు లభించాయి
its just a smile	ఇది కేవలం ఒక నవ్వుల వార్తలు
you have none	మీకు ఏమీ లేదు
dont joke	జోక్ చేయకు
head constable awadhesh kumar yadav uttar pradesh	హెడ్ కానిస్టేబుల్ అవధేష్ కుమార్ యాదవ్ ఉత్తర ప్రదేశ్
however her tribute	అయితే ఆమె పుదుచ్ఛేరి విషయంలో
new delhi the us and several other countries on tuesday condoled the death of tamil nadu chief minister j jayalalithaa	ఢిల్లీ తమిళనాడు ముఖ్యమంత్రి జయలలిత మృతి పట్ల కాంగ్రెస్ పార్టీ సంతాపం ప్రకటించింది
will you give	స్తారా
it is extremely beautiful and nice	ఇది చాలా అరుదైన అందమైన దృశ్యం
a case has been registered against them under various sections	వారి పైన పలు సెక్షన్ల కింద కేసు నమోదు చేశామన్నారు
there was a huge fire	పెద్ద ఎత్తున మంటలు ఎగిసిపడ్డాయి
the maharashtra government	మహారాష్ట్ర శాసనసభలో తమ ప్రభుత్వం
there are two monuments	రెండు కళ్యాణ మండపములు ఉన్నాయి
it is raining heavily	వర్షాలు విస్తారంగా పడుతాయి
the characters are very different	వైరస్లు చాలా భిన్నంగా ఉంటుంది
total cases active cases deaths discharges	ప్రస్తుతం మొత్తం కేసులు  యాక్టివ్ కేసులు  మరణాలు  డిశ్చార్జెస్ గా ఉన్నాయి
superstar mahesh babu enjoys a solid fan following in telugu states	సూపర్ స్టార్ మహేశ్ బాబు సినిమా అంటే తెలుగు రాష్ట్రాల్లో ఫ్యాన్స్ బ్రహ్మరధం పడతారు
however the apex court dismissed the appeal	అయితే కేంద్రం పెట్టుకున్న పిటీషన్ను సుప్రీం కొట్టి వేసింది
the word ugadi is a kannada form of sanskrit word yugadi	గాది అనే పదం యుగాది అనే సంస్కృత పదానికి వికృతి రూపం
no such thing exists	అలాంటిదేమీ లేదని చెప్తున్నారు
he got married	అతడి వివాహం జరిగింది
several fatal incidents have occurred as a result	తత్ఫలితంగా ఎన్నో విషాద ఘటనలు చోటుచేసుకున్నాయి
after his condition deteriorated he was shifted to a hospital in hyderabad	పరిస్థితి విషమంగా ఉండటంతో హైదరాబాద్ నిలోఫర్ వైద్యశాలకు తరలించారు
the postmortem examination report stated that he sustained serious injuries in his torso and head due to brutal beating	దాడి కారణంగా అతనికి తల వీపు భాగాల్లో బలమైన గాయాలయ్యా యని దీంతో అతను మృతి చెందినట్లు పోస్ట్ మార్టమ్ నివేదికలో రుజువైంది
toss all ingredients together in a large bowl	ఒక పెద్ద గిన్నె లో అన్ని సమూహ పదార్థాలు కలపాలి
he was undergoing treatment since then	అప్పటి నుంచి చికిత్సపొందుతూ తుదిశ్వాస విడిచారు
the body was handed over to relatives of the deceased after conducting a postmortem	మృత దేహాలకి పోస్ట్మార్టం నిర్వహించి మృతుల బంధువులకి అప్పగించారు
this one is for the kids only	ఈ సినిమా కేవలం పిల్లల కోసమే తీశాం
the cost of the construction was rs	చదరపు అడుగుకు నిర్మాణ వ్యయాన్ని రూ
they are all very experienced	వారందరికీ చాలా అనుభూతులున్నాయి
s could not read display class	ప్రదర్శన తరగతి చదువుట వీలుకాదు
thats still small	అప్పటికి చాలా చిన్నదాన్ని
it hasnt looked back from there	ఇక అక్కడినుండి వెనుతిరిగి చూడలేదు
the yugoslav territory was the scene of a civil war between royalist chetniks commanded by draa mihailovi and communist partisans commanded by josip broz tito	ఆక్రమిత భూభాగం డ్రాజి మిహియోలోవిక్  జోసిప్ బ్రోజ్ టిటో నాయకత్వం వహించిన కమ్యూనిస్ట్ పర్షియన్ల ఆధ్వర్యంలో రాజ్యవాద చేట్నిక్స్ మధ్య పౌర యుద్ధం ఆరంభం అయింది
come lets have a discussion	మ్ముంటే చర్చకు రండి
apart from shah rajnath singh nitin gadkari smriti irani dv sadananda gowda nirmala sitharaman and ram vilas paswan were also swornin as cabinet ministers	రాజ్నాథ్ సింగ్ అమిత్ షా నిర్మలా సీతారామన్ నితిన్ గడ్కరీ రవిశంకర్ ప్రసాద్ సదానందగౌడతో పాటు పలువురు ఎంపీలు మంత్రులుగా ప్రమాణస్వీకారం చేశారు
theres is no baahubali being made	బాహుబలి ఉండే అవకాశమే లేదు
but we have to blame ourselves for this	కానీ అందుకు మమ్మల్ని మేమే నిందించుకోవాలి
however no serious case has emerged in gujarat so far	అయితే గుజరాత్లో ఇప్పటివరకు ఒక్క పాజిటివ్ కేసు కూడా నమోదు కాకపోవడం గమనార్హం
also the trs party has suspended him from the party	ఆయనను పార్టీ నుంటి టీఆర్ఎస్ నాయకత్వం సస్పెండ్ చేసింది
an official announcement is expected out to be soon	అతి త్వరలో దీనిపై అఫీషియల్ ప్రకటన రానుందని తెలుస్తోంది
the doctor	ఓ వైద్యుడు
he expressed sympathy with the family of the deceased	మృతురాలి కుటుంబానికి ఆయన తన ప్రగాఢ సానుభూతి ప్రకటించారు
the doctors can determine that	అన్నది వైద్యులు నిర్ధారిస్తారు
it has been getting a great response from his fans	దానికి అభిమానుల నుంచి విశేషణ స్పందన లభిస్తోంది
but theres still time	కానీ దానికి ఇంకా చాలా సమయం ఉంది
anything to say	ఏదో చెప్పు విమలా
sprinkle a bit of water and mix well	వేప ఆకులకు కొద్దిగా నీరు మిక్స్ చేసి పేస్ట్ చేయాలి
jagan reddy pointed out that the rayalaseema region nellore and prakasam districts of andhra pradesh are perennially drought prone	ఏపీలోని రాయలసీమ నెల్లూరు ప్రకాశం జిల్లాలు నిత్యం కరువు తాండవించే జిల్లాలు
the original film had vijay deverakonda and ritu varma in the lead and was directed by tharun bhascker	తరుణ్ భాస్కర్ దర్శకత్వంలో తెరకెక్కిన ఈ మూవీ లో విజయ్ దేవరకొండ రీతూ వర్మ హీరో హీరోయిన్లుగా నటించారు
police reached the spot and found the body	ఆ తర్వాత సంఘటన స్థలానికి పోలీసులు చేరుకొని ఆ మృతదేహాన్ని గుర్తించడం జరిగింది
it was my first film	నా తొలి సినిమా పరుగు
no one knew what to do	ఎవరో తెలీక ఏం చేయలేక ఊరుకుండిపోయింది
the bhopal lok sabha constituency has been held by the bjp since	భోపాల్ నియోజకవర్గానికి  నుంచి భాజపా ప్రాతినిథ్యం వహిస్తోంది
he refused to speak to the media	ఈ సందర్భంగా ఆయన మీడియాతో మాట్లాడటానికి నిరాకరించారు
pakistan limited overs captain babar azam is tired of his constant comparisons with india skipper virat kohli	కరాచీ టీమిండియా సారథి విరాట్ కోహ్లితో తనను పోల్చుతుండటంతో పాకిస్తాన్ పరిమిత ఓవర్ల క్రికెట్ కెప్టెన్ బాబర్ ఆజమ్ ఆక్రోశించాడు
the canvas should also be cleaned from time to time	గోళ్లను కూడా ఎప్పటికప్పుడు శుభ్రపరుచుకోవాలి
actually this is not a true statement	నిజానికి ఈ ప్రచారంలో వాస్తవం లేదు
my leg got injured	నా కాలికి గాయమైంది
crores	కోట్లు మంజూరు చేస్తున్నామని తెలిపారు
he sought that decision be reviewed	ప్రైవేటీకరణ నిర్ణయాన్ని సమీక్షించుకోవాలని డిమాండ్ చేశారు
almonds are rich in vitamin a	మామిడిపండ్లలో విటమిన్ ఏ ఉంటుంది
around cases have been reported so far	ఇప్పటికే దేశవ్యాప్తంగా దాదాపుగా  పాజిటివ్ కేసులు నమోదయ్యాయి
how do you get back in shape after your pregnancy	పిండం క్షీనతకి తర్వాత రికవరీ ఎలా
the government brushed off these questions however	అయితే ప్రభుత్వం ఈ సమస్యలను ఒక్కటొక్కటిగా పరిష్కరించుకుంటూ వచ్చింది
so c is our actually eight cs which are recorded in this particular scheme of events	కాబట్టి  అనేది మా  వాస్తవానికి ఎనిమిది  లు ఈ ప్రత్యేకమైన సంఘటనల పథకంలో నమోదు చేయబడతాయి
ive seen a lot of films	వంశీ సినిమాలు చాలా చూశాను
c the reports which a political party shall furnish with regard to admission to such political party of any members of the house and the officer of the house to whom such reports shall be furnished and	సి ఒక రాజకీయ పార్టీ సభ యొక్క ఎవరేని సభ్యులు అట్టి రాజకీయ పార్టీలో చేరుట గురించి నివేదికలను మరియు అట్టి నివేదికలు సభలోని ఏ అధికారికి సమర్పించవలెనను దాని గురించి మరియు
so what makes a good selector	సో వాట్ మంచి మిక్సర్
a boom time for artists and poets	కవులకూ కళాకారులకూ నెలవు
everything went as planned	అన్నీ అనుకున్నవి అనుకున్నట్టుగా జరిగాయి
soviet invasion	సోవియట్ ఆక్రమణ
i am kalam hindi	యామ్ ఐ ది ఎనిమీ
its delicious and very different	ఇది రుచికరమైన మరియు అసాధారణ వార్తలు
the movie is produced by vijay chilla and shashi devi reddy	విజయ్ చిల్లా శశి దేవిరెడ్డి సంయుక్తంగా ఈ చిత్రాన్ని నిర్మించారు
it has five components	ఇందులో ఐదుగురు సభ్యులు ఉంటారు
which is the right one for you	ఏం క్రీడ మీరు కోసం కుడి ఉంది
then he got out	అప్పుడు అతను బయటకు ఉమ్మి
telangana chief minister k chandrasekhar rao former cpi general secretary s sudhakar reddy and several other political party leaders condoled the demise of rajaiah	తెలంగాణ సీఎం కేసీఆర్ ఏపీ మాజీ ముఖ్యమంత్రిచంద్రబాబునాయుడుతో పాటు పలువురు రాజకీయ ప్రముఖులు షీలా దీక్షిత్ మృతికి సంతాపం తెలిపారు
some of the highlighted features of the tiago includes inch alloy wheels a digital instrument cluster a inch touchscreen infotainment system with support for apple carplay and android auto automatic climate control along with powerfolding wing mirrors and more	టాటా టియాగోలో కొన్ని ప్రధాన ఫీచర్లను గమనిస్తే ఇందులో  ఇంచ్ అల్లాయ్ వీల్స్ డిజిటల్ ఇన్స్ట్రుమెంట్ క్లస్టర్ ఆపిల్ కార్ప్లే మరియు ఆండ్రాయిడ్ ఆటోలను సపోర్ట్ చేసే  ఇంచ్ టచ్స్క్రీన్ ఇన్ఫోటైన్మెంట్ సిస్టమ్ ఆటోమేటిక్ క్లైమేట్ కంట్రోల్ పవర్ఫోల్డింగ్ వింగ్ మిర్రర్ మొదలైన ఫీచర్లు ఉన్నాయి
jalandhar is famous for its sports industry and equipment manufactured in jalandhar has been used in many international sporting games including olympics commonwealth games asian games among others	జలంధర్లో తయారైన క్రీడా పరికరాలను ఒలింపిక్స్ కామన్వెల్త్ గేమ్స్ ఆసియా గేమ్స్ వంటి అనేక అంతర్జాతీయ క్రీడల పోటీల్లో ఉపయోగించారు
they havent slept	కాదు అవి నిద్రలోకి పడిపోయింది
a third of the jobs are reserved for women	సివిల్ పోస్టుల్లో మహిళలకు మూడో వంతు పోస్టులు రిజర్వ్ చేశారు
she led india in test matches and in odis	టెస్టులు  వన్డేలకు సారథిగా బాధ్యతలు నిర్వర్తించింది
